# Generated by ./gradlew generateGitHubDocsData from GitHub Docs.
action	The name of the action currently running, or the id of a step. GitHub removes special characters, and uses the name __run when the current step runs a script without an id. If you use the same action more than once in the same job, the name will include a suffix with the sequence number with underscore before it. For example, the first script you run will have the name __run, and the second script will be named __run_2. Similarly, the second invocation of actions/checkout will be actionscheckout2.
action_path	The path where an action is located. This property is only supported in composite actions. You can use this path to access files located in the same repository as the action, for example by changing directories to the path (using the corresponding environment variable): cd "$GITHUB_ACTION_PATH" . For more information on environment variables, see Secure use reference.
action_ref	For a step executing an action, this is the ref of the action being executed. For example, v2. Do not use in the run keyword. To make this context work with composite actions, reference it within the env context of the composite action.
action_repository	For a step executing an action, this is the owner and repository name of the action. For example, actions/checkout. Do not use in the run keyword. To make this context work with composite actions, reference it within the env context of the composite action.
action_status	For a composite action, the current result of the composite action.
actor	The username of the user that triggered the initial workflow run. If the workflow run is a re-run, this value may differ from github.triggering_actor. Any workflow re-runs will use the privileges of github.actor, even if the actor initiating the re-run (github.triggering_actor) has different privileges.
actor_id	The account ID of the person or app that triggered the initial workflow run. For example, 1234567. Note that this is different from the actor username.
api_url	The URL of the GitHub REST API.
base_ref	The base_ref or target branch of the pull request in a workflow run. This property is only available when the event that triggers a workflow run is either pull_request or pull_request_target.
env	Path on the runner to the file that sets environment variables from workflow commands. This file is unique to the current step and is a different file for each step in a job. For more information, see Workflow commands for GitHub Actions.
event	The full event webhook payload. You can access individual properties of the event using this context. This object is identical to the webhook payload of the event that triggered the workflow run, and is different for each event. The webhooks for each GitHub Actions event is linked in Events that trigger workflows. For example, for a workflow run triggered by the push event, this object contains the contents of the push webhook payload.
event_name	The name of the event that triggered the workflow run.
event_path	The path to the file on the runner that contains the full event webhook payload.
graphql_url	The URL of the GitHub GraphQL API.
head_ref	The head_ref or source branch of the pull request in a workflow run. This property is only available when the event that triggers a workflow run is either pull_request or pull_request_target.
job	The job_id of the current job. Note: This context property is set by the Actions runner, and is only available within the execution steps of a job. Otherwise, the value of this property will be null.
path	Path on the runner to the file that sets system PATH variables from workflow commands. This file is unique to the current step and is a different file for each step in a job. For more information, see Workflow commands for GitHub Actions.
ref	The fully-formed ref of the branch or tag that triggered the workflow run. For workflows triggered by push, this is the branch or tag ref that was pushed. For workflows triggered by pull_request that were not merged, this is the pull request merge branch. If the pull request was merged, this is the branch it was merged into. For workflows triggered by release, this is the release tag created. For other triggers, this is the branch or tag ref that triggered the workflow run. This is only set if a branch or tag is available for the event type. The ref given is fully-formed, meaning that for branches the format is refs/heads/<branch_name>. For pull request events except pull_request_target that were not merged, it is refs/pull/<pr_number>/merge. pull_request_target events have the ref from the base branch. For tags it is refs/tags/<tag_name>. For example, refs/heads/feature-branch-1. For more information about pull request merge branches, see About pull requests.
ref_name	The short ref name of the branch or tag that triggered the workflow run. This value matches the branch or tag name shown on GitHub. For example, feature-branch-1. For pull requests that were not merged, the format is <pr_number>/merge.
ref_protected	true if branch protections or rulesets are configured for the ref that triggered the workflow run.
ref_type	The type of ref that triggered the workflow run. Valid values are branch or tag.
repository	The owner and repository name. For example, octocat/Hello-World.
repository_id	The ID of the repository. For example, 123456789. Note that this is different from the repository name.
repository_owner	The repository owner's username. For example, octocat.
repository_owner_id	The repository owner's account ID. For example, 1234567. Note that this is different from the owner's name.
repositoryUrl	The Git URL to the repository. For example, git://github.com/octocat/hello-world.git.
retention_days	The number of days that workflow run logs and artifacts are kept.
run_id	A unique number for each workflow run within a repository. This number does not change if you re-run the workflow run.
run_number	A unique number for each run of a particular workflow in a repository. This number begins at 1 for the workflow's first run, and increments with each new run. This number does not change if you re-run the workflow run.
run_attempt	A unique number for each attempt of a particular workflow run in a repository. This number begins at 1 for the workflow run's first attempt, and increments with each re-run.
secret_source	The source of a secret used in a workflow. Possible values are None, Actions, Codespaces, or Dependabot.
server_url	The URL of the GitHub server. For example: https://github.com.
sha	The commit SHA that triggered the workflow. The value of this commit SHA depends on the event that triggered the workflow. For more information, see Events that trigger workflows. For example, ffac537e6cbbf934b08745a378932722df287a53.
token	A token to authenticate on behalf of the GitHub App installed on your repository. This is functionally equivalent to the GITHUB_TOKEN secret. For more information, see Use GITHUB_TOKEN for authentication in workflows. Note: This context property is set by the Actions runner, and is only available within the execution steps of a job. Otherwise, the value of this property will be null.
triggering_actor	The username of the user that initiated the workflow run. If the workflow run is a re-run, this value may differ from github.actor. Any workflow re-runs will use the privileges of github.actor, even if the actor initiating the re-run (github.triggering_actor) has different privileges.
workflow	The name of the workflow. If the workflow file doesn't specify a name, the value of this property is the full path of the workflow file in the repository.
workflow_ref	The ref path to the workflow. For example, octocat/hello-world/.github/workflows/my-workflow.yml@refs/heads/my_branch.
workflow_sha	The commit SHA for the workflow file.
workspace	The default working directory on the runner for steps, and the default location of your repository when using the checkout action.
