# group	key	bundle-key
top	name	completion.workflow.top.name
top	run-name	completion.workflow.top.run-name
top	on	completion.workflow.top.on
top	permissions	completion.workflow.top.permissions
top	env	completion.workflow.top.env
top	defaults	completion.workflow.top.defaults
top	concurrency	completion.workflow.top.concurrency
top	jobs	completion.workflow.top.jobs
event	branch_protection_rule	completion.workflow.event.branch_protection_rule
event	check_run	completion.workflow.event.check_run
event	check_suite	completion.workflow.event.check_suite
event	create	completion.workflow.event.create
event	delete	completion.workflow.event.delete
event	deployment	completion.workflow.event.deployment
event	deployment_status	completion.workflow.event.deployment_status
event	discussion	completion.workflow.event.discussion
event	discussion_comment	completion.workflow.event.discussion_comment
event	fork	completion.workflow.event.fork
event	gollum	completion.workflow.event.gollum
event	image_version	completion.workflow.event.image_version
event	issue_comment	completion.workflow.event.issue_comment
event	issues	completion.workflow.event.issues
event	label	completion.workflow.event.label
event	merge_group	completion.workflow.event.merge_group
event	milestone	completion.workflow.event.milestone
event	page_build	completion.workflow.event.page_build
event	project	completion.workflow.event.project
event	project_card	completion.workflow.event.project_card
event	project_column	completion.workflow.event.project_column
event	public	completion.workflow.event.public
event	pull_request	completion.workflow.event.pull_request
event	pull_request_review	completion.workflow.event.pull_request_review
event	pull_request_review_comment	completion.workflow.event.pull_request_review_comment
event	pull_request_target	completion.workflow.event.pull_request_target
event	push	completion.workflow.event.push
event	registry_package	completion.workflow.event.registry_package
event	release	completion.workflow.event.release
event	repository_dispatch	completion.workflow.event.repository_dispatch
event	schedule	completion.workflow.event.schedule
event	status	completion.workflow.event.status
event	watch	completion.workflow.event.watch
event	workflow_call	completion.workflow.event.workflow_call
event	workflow_dispatch	completion.workflow.event.workflow_dispatch
event	workflow_run	completion.workflow.event.workflow_run
eventFilter	types	completion.workflow.eventFilter.types
eventFilter	branches	completion.workflow.eventFilter.branches
eventFilter	branches-ignore	completion.workflow.eventFilter.branches-ignore
eventFilter	tags	completion.workflow.eventFilter.tags
eventFilter	tags-ignore	completion.workflow.eventFilter.tags-ignore
eventFilter	paths	completion.workflow.eventFilter.paths
eventFilter	paths-ignore	completion.workflow.eventFilter.paths-ignore
eventFilter	workflows	completion.workflow.eventFilter.workflows
eventFilter	cron	completion.workflow.eventFilter.cron
eventFilter.schedule	cron	completion.workflow.eventFilter.cron
eventFilter.workflow_run	workflows	completion.workflow.eventFilter.workflows
eventFilter.workflow_run	types	completion.workflow.eventFilter.types
eventFilter.workflow_run	branches	completion.workflow.eventFilter.branches
eventFilter.workflow_run	branches-ignore	completion.workflow.eventFilter.branches-ignore
eventFilter.push	branches	completion.workflow.eventFilter.branches
eventFilter.push	branches-ignore	completion.workflow.eventFilter.branches-ignore
eventFilter.push	tags	completion.workflow.eventFilter.tags
eventFilter.push	tags-ignore	completion.workflow.eventFilter.tags-ignore
eventFilter.push	paths	completion.workflow.eventFilter.paths
eventFilter.push	paths-ignore	completion.workflow.eventFilter.paths-ignore
eventFilter.pull_request	types	completion.workflow.eventFilter.types
eventFilter.pull_request	branches	completion.workflow.eventFilter.branches
eventFilter.pull_request	branches-ignore	completion.workflow.eventFilter.branches-ignore
eventFilter.pull_request	paths	completion.workflow.eventFilter.paths
eventFilter.pull_request	paths-ignore	completion.workflow.eventFilter.paths-ignore
eventFilter.pull_request_target	types	completion.workflow.eventFilter.types
eventFilter.pull_request_target	branches	completion.workflow.eventFilter.branches
eventFilter.pull_request_target	branches-ignore	completion.workflow.eventFilter.branches-ignore
eventFilter.pull_request_target	paths	completion.workflow.eventFilter.paths
eventFilter.pull_request_target	paths-ignore	completion.workflow.eventFilter.paths-ignore
activity.branch_protection_rule	created	completion.workflow.eventFilter.types
activity.branch_protection_rule	deleted	completion.workflow.eventFilter.types
activity.check_run	created	completion.workflow.eventFilter.types
activity.check_run	rerequested	completion.workflow.eventFilter.types
activity.check_run	completed	completion.workflow.eventFilter.types
activity.check_run	requested_action	completion.workflow.eventFilter.types
activity.check_suite	completed	completion.workflow.eventFilter.types
activity.discussion	created	completion.workflow.eventFilter.types
activity.discussion	edited	completion.workflow.eventFilter.types
activity.discussion	deleted	completion.workflow.eventFilter.types
activity.discussion	transferred	completion.workflow.eventFilter.types
activity.discussion	pinned	completion.workflow.eventFilter.types
activity.discussion	unpinned	completion.workflow.eventFilter.types
activity.discussion	labeled	completion.workflow.eventFilter.types
activity.discussion	unlabeled	completion.workflow.eventFilter.types
activity.discussion	locked	completion.workflow.eventFilter.types
activity.discussion	unlocked	completion.workflow.eventFilter.types
activity.discussion	category_changed	completion.workflow.eventFilter.types
activity.discussion	answered	completion.workflow.eventFilter.types
activity.discussion	unanswered	completion.workflow.eventFilter.types
activity.discussion_comment	created	completion.workflow.eventFilter.types
activity.discussion_comment	edited	completion.workflow.eventFilter.types
activity.discussion_comment	deleted	completion.workflow.eventFilter.types
activity.issue_comment	created	completion.workflow.eventFilter.types
activity.issue_comment	edited	completion.workflow.eventFilter.types
activity.issue_comment	deleted	completion.workflow.eventFilter.types
activity.pull_request_review_comment	created	completion.workflow.eventFilter.types
activity.pull_request_review_comment	edited	completion.workflow.eventFilter.types
activity.pull_request_review_comment	deleted	completion.workflow.eventFilter.types
activity.issues	opened	completion.workflow.eventFilter.types
activity.issues	edited	completion.workflow.eventFilter.types
activity.issues	deleted	completion.workflow.eventFilter.types
activity.issues	transferred	completion.workflow.eventFilter.types
activity.issues	pinned	completion.workflow.eventFilter.types
activity.issues	unpinned	completion.workflow.eventFilter.types
activity.issues	closed	completion.workflow.eventFilter.types
activity.issues	reopened	completion.workflow.eventFilter.types
activity.issues	assigned	completion.workflow.eventFilter.types
activity.issues	unassigned	completion.workflow.eventFilter.types
activity.issues	labeled	completion.workflow.eventFilter.types
activity.issues	unlabeled	completion.workflow.eventFilter.types
activity.issues	locked	completion.workflow.eventFilter.types
activity.issues	unlocked	completion.workflow.eventFilter.types
activity.issues	milestoned	completion.workflow.eventFilter.types
activity.issues	demilestoned	completion.workflow.eventFilter.types
activity.label	created	completion.workflow.eventFilter.types
activity.label	edited	completion.workflow.eventFilter.types
activity.label	deleted	completion.workflow.eventFilter.types
activity.merge_group	checks_requested	completion.workflow.eventFilter.types
activity.milestone	created	completion.workflow.eventFilter.types
activity.milestone	closed	completion.workflow.eventFilter.types
activity.milestone	opened	completion.workflow.eventFilter.types
activity.milestone	edited	completion.workflow.eventFilter.types
activity.milestone	deleted	completion.workflow.eventFilter.types
activity.pull_request	assigned	completion.workflow.eventFilter.types
activity.pull_request	unassigned	completion.workflow.eventFilter.types
activity.pull_request	labeled	completion.workflow.eventFilter.types
activity.pull_request	unlabeled	completion.workflow.eventFilter.types
activity.pull_request	opened	completion.workflow.eventFilter.types
activity.pull_request	edited	completion.workflow.eventFilter.types
activity.pull_request	closed	completion.workflow.eventFilter.types
activity.pull_request	reopened	completion.workflow.eventFilter.types
activity.pull_request	synchronize	completion.workflow.eventFilter.types
activity.pull_request	converted_to_draft	completion.workflow.eventFilter.types
activity.pull_request	locked	completion.workflow.eventFilter.types
activity.pull_request	unlocked	completion.workflow.eventFilter.types
activity.pull_request	enqueued	completion.workflow.eventFilter.types
activity.pull_request	dequeued	completion.workflow.eventFilter.types
activity.pull_request	milestoned	completion.workflow.eventFilter.types
activity.pull_request	demilestoned	completion.workflow.eventFilter.types
activity.pull_request	ready_for_review	completion.workflow.eventFilter.types
activity.pull_request	review_requested	completion.workflow.eventFilter.types
activity.pull_request	review_request_removed	completion.workflow.eventFilter.types
activity.pull_request	auto_merge_enabled	completion.workflow.eventFilter.types
activity.pull_request	auto_merge_disabled	completion.workflow.eventFilter.types
activity.pull_request_target	assigned	completion.workflow.eventFilter.types
activity.pull_request_target	unassigned	completion.workflow.eventFilter.types
activity.pull_request_target	labeled	completion.workflow.eventFilter.types
activity.pull_request_target	unlabeled	completion.workflow.eventFilter.types
activity.pull_request_target	opened	completion.workflow.eventFilter.types
activity.pull_request_target	edited	completion.workflow.eventFilter.types
activity.pull_request_target	closed	completion.workflow.eventFilter.types
activity.pull_request_target	reopened	completion.workflow.eventFilter.types
activity.pull_request_target	synchronize	completion.workflow.eventFilter.types
activity.pull_request_target	converted_to_draft	completion.workflow.eventFilter.types
activity.pull_request_target	locked	completion.workflow.eventFilter.types
activity.pull_request_target	unlocked	completion.workflow.eventFilter.types
activity.pull_request_target	enqueued	completion.workflow.eventFilter.types
activity.pull_request_target	dequeued	completion.workflow.eventFilter.types
activity.pull_request_target	milestoned	completion.workflow.eventFilter.types
activity.pull_request_target	demilestoned	completion.workflow.eventFilter.types
activity.pull_request_target	ready_for_review	completion.workflow.eventFilter.types
activity.pull_request_target	review_requested	completion.workflow.eventFilter.types
activity.pull_request_target	review_request_removed	completion.workflow.eventFilter.types
activity.pull_request_target	auto_merge_enabled	completion.workflow.eventFilter.types
activity.pull_request_target	auto_merge_disabled	completion.workflow.eventFilter.types
activity.pull_request_review	submitted	completion.workflow.eventFilter.types
activity.pull_request_review	edited	completion.workflow.eventFilter.types
activity.pull_request_review	dismissed	completion.workflow.eventFilter.types
activity.registry_package	published	completion.workflow.eventFilter.types
activity.registry_package	updated	completion.workflow.eventFilter.types
activity.release	published	completion.workflow.eventFilter.types
activity.release	unpublished	completion.workflow.eventFilter.types
activity.release	created	completion.workflow.eventFilter.types
activity.release	edited	completion.workflow.eventFilter.types
activity.release	deleted	completion.workflow.eventFilter.types
activity.release	prereleased	completion.workflow.eventFilter.types
activity.release	released	completion.workflow.eventFilter.types
activity.watch	started	completion.workflow.eventFilter.types
activity.workflow_run	completed	completion.workflow.eventFilter.types
activity.workflow_run	requested	completion.workflow.eventFilter.types
activity.workflow_run	in_progress	completion.workflow.eventFilter.types
permission	actions	completion.workflow.permission.actions
permission	artifact-metadata	completion.workflow.permission.artifact-metadata
permission	attestations	completion.workflow.permission.attestations
permission	checks	completion.workflow.permission.checks
permission	code-quality	completion.workflow.permission.code-quality
permission	contents	completion.workflow.permission.contents
permission	deployments	completion.workflow.permission.deployments
permission	discussions	completion.workflow.permission.discussions
permission	id-token	completion.workflow.permission.id-token
permission	issues	completion.workflow.permission.issues
permission	models	completion.workflow.permission.models
permission	packages	completion.workflow.permission.packages
permission	pages	completion.workflow.permission.pages
permission	pull-requests	completion.workflow.permission.pull-requests
permission	security-events	completion.workflow.permission.security-events
permission	statuses	completion.workflow.permission.statuses
permission	vulnerability-alerts	completion.workflow.permission.vulnerability-alerts
permission.gitea	actions	completion.workflow.permission.actions
permission.gitea	contents	completion.workflow.permission.contents
permission.gitea	code	completion.workflow.permission.contents
permission.gitea	releases	completion.workflow.event.release
permission.gitea	issues	completion.workflow.permission.issues
